,product/slug,location/country,score,industry,segment,Review,sentiment,review_processed,category
0,zinc-work,United States,4.5,Computer Software,mid-market,"You can send check requests to your candidates branded with your company logo and can customize all the templates for your diff background/reference checks based on your needs. Our account rep Beth is also super responsive and helpful. I've had companies like Checkr and Goodhire run me around for weeks without proper response/demos. Easier to understand the pricing structure as well! Less clunky than some of the software provided by stodgy/huge background check companies. Great for modern/cutting-edge tech companies.
Zinc is great, this is more of a general comment for all background check providers. It would be great if there were guidance/available documentation on standard SOC2 compliance regulations so companies who need to be compliant can easily reference them.
nan
In this culture of remote workforce it was important for us to find a vendor with global check capabilities. Clean",positive,"['send', 'check', 'request', 'candidate', 'branded', 'company', 'logo', 'customize', 'template', 'diff', 'background/reference', 'check', 'based', 'need', 'account', 'rep', 'beth', 'also', 'super', 'responsive', 'helpful', ""'ve"", 'company', 'like', 'checkr', 'goodhire', 'run', 'around', 'week', 'without', 'proper', 'response/demos', 'easier', 'understand', 'pricing', 'structure', 'well', 'le', 'clunky', 'software', 'provided', 'stodgy/huge', 'background', 'check', 'company', 'great', 'modern/cutting-edge', 'tech', 'company', 'zinc', 'great', 'general', 'comment', 'background', 'check', 'provider', 'would', 'great', 'guidance/available', 'documentation', 'standard', 'soc2', 'compliance', 'regulation', 'company', 'need', 'compliant', 'easily', 'reference', 'nan', 'culture', 'remote', 'workforce', 'wa', 'important', 'u', 'find', 'vendor', 'global', 'check', 'capability', 'clean']","Communication, Technology, Checks, Platform, Cost, Documentation & Compliance, People Management, Features & Functions, Time, Adjectives"
1,checkr,United States,5.0,Religious Institutions,small-business,"The fact that it plugs straight into our Database, Planning Center, makes managing our background checks so easy to access. It's easy to intiate and to see people's profiles right next to their Checkr info. Highly Recommend!
You have to log in to Checkr to see the full background report; I wish you could access it straight from Planning Center. It would also be helpful if you could generate different types of searches straight in the Planning Center interface.
nan
We run a background check on all volunteers that sign up to serve with children. Checkr has allowed us to verify that all volunteers are safe and can be trusted.",positive,"['fact', 'plug', 'straight', 'database', 'planning', 'center', 'make', 'managing', 'background', 'check', 'easy', 'access', ""'s"", 'easy', 'intiate', 'see', 'people', ""'s"", 'profile', 'right', 'next', 'checkr', 'info', 'highly', 'recommend', 'log', 'checkr', 'see', 'full', 'background', 'report', 'wish', 'could', 'access', 'straight', 'planning', 'center', 'would', 'also', 'helpful', 'could', 'generate', 'different', 'type', 'search', 'straight', 'planning', 'center', 'interface', 'nan', 'run', 'background', 'check', 'volunteer', 'sign', 'serve', 'child', 'checkr', 'ha', 'allowed', 'u', 'verify', 'volunteer', 'safe', 'trusted']","Communication, Performance & Quality, Technology, Checks, Platform, Documentation & Compliance, Adjectives"
2,zinc-work,United Kingdom,4.5,Computer Software,small-business,"The fully automated platform that sends you notifications when a task has been completed or reviewed.
Would not let me amend my referees once I confirmed them
nan
N/A Analytics",positive,"['fully', 'automated', 'platform', 'sends', 'notification', 'task', 'ha', 'completed', 'reviewed', 'would', 'let', 'amend', 'referee', 'confirmed', 'nan', 'n/a', 'analytics']","Platform, People Management, Features & Functions, Technology"
3,checkr,United States,4.5,Transportation/Trucking/Railroad,enterprise,"I love being able to work with my Customer Support Rep to help determine what types of checks I should be running to ensure the overall trust & safety within my business.
Would love to see more custom matrix work with the upcoming MVR programs.
nan
Helping to ensure the safety of kids through the drivers we onboard into our platform.",positive,"['love', 'able', 'work', 'customer', 'support', 'rep', 'help', 'determine', 'type', 'check', 'running', 'ensure', 'overall', 'trust', 'safety', 'within', 'business', 'would', 'love', 'see', 'custom', 'matrix', 'work', 'upcoming', 'mvr', 'program', 'nan', 'helping', 'ensure', 'safety', 'kid', 'driver', 'onboard', 'platform']","Time, Communication, Platform, Adjectives"
4,checkr,United States,4.0,Libraries,enterprise,"Fast, efficient results and processes that work well for our organization
Would love to receive more information as to how we can customize for expanding growth needs
Removing the paper process.  Streamlining made easy through
Fast turnaround time and easy to use.",positive,"['fast', 'efficient', 'result', 'process', 'work', 'well', 'organization', 'would', 'love', 'receive', 'information', 'customize', 'expanding', 'growth', 'need', 'removing', 'paper', 'process', 'streamlining', 'made', 'easy', 'fast', 'turnaround', 'time', 'easy', 'use']","Time, Features & Functions, Technology, Adjectives"
5,checkr,United States,5.0,Consumer Services,mid-market,"How quick the background check results come back. 
Legally compliant so we don't have to worry. 
Easy interface for our users. 
Would like more action taken on feature requests/ improvements. 
Want to be able to archive past checks, file them, ensure that only the requestor gets email notifications, etc. 
Reduced turnaround time in half, from 3-4 days to 1-2 days. 
Great service to startups by a startup. Can be beneficial for a company of any size. ",positive,"['quick', 'background', 'check', 'result', 'come', 'back', 'legally', 'compliant', ""n't"", 'worry', 'easy', 'interface', 'user', 'would', 'like', 'action', 'taken', 'feature', 'requests/', 'improvement', 'want', 'able', 'archive', 'past', 'check', 'file', 'ensure', 'requestor', 'get', 'email', 'notification', 'etc', 'reduced', 'turnaround', 'time', 'half', '3-4', 'day', '1-2', 'day', 'great', 'service', 'startup', 'startup', 'beneficial', 'company', 'size']","Communication, Performance & Quality, Technology, Checks, Platform, Documentation & Compliance, Features & Functions, Time, Adjectives"
6,zinc-work,United Kingdom,4.0,Marketing and Advertising,mid-market,"How easy the platform is to use, very quick and efficient.
Would be great to see what each Background checking level entails: details to see what they cover when selecting.
nan
A good background checking tool to use when doing recruitment and onboarding candidates into roles.",positive,"['easy', 'platform', 'use', 'quick', 'efficient', 'would', 'great', 'see', 'background', 'checking', 'level', 'entail', 'detail', 'see', 'cover', 'selecting', 'nan', 'good', 'background', 'checking', 'tool', 'use', 'recruitment', 'onboarding', 'candidate', 'role']","Platform, People Management, Adjectives, Checks"
7,zinc-work,United Kingdom,4.5,Human Resources,small-business,"Great and easy-to-understand documentation, simple integration process, and super helpful support!
Would appreciate an API endpoint to cancel a pending Zinc check, but for now it is a manual process, which is also fine.
nan
Our platform Zelt has integrated with Zinc to provide easy to use ID / Background checks for any company's employees.",positive,"['great', 'easy-to-understand', 'documentation', 'simple', 'integration', 'process', 'super', 'helpful', 'support', 'would', 'appreciate', 'api', 'endpoint', 'cancel', 'pending', 'zinc', 'check', 'manual', 'process', 'also', 'fine', 'nan', 'platform', 'zelt', 'ha', 'integrated', 'zinc', 'provide', 'easy', 'use', 'id', 'background', 'check', 'company', ""'s"", 'employee']","Communication, Complaints & Issues, Technology, Checks, Platform, Integration, Documentation & Compliance, People Management, Adjectives"
8,certn,United States,5.0,Medical Devices,small-business,"Easy to use and quick turnaround time for our standard background check.
Wish they could add ACT153 for PA to handle the FBI fingerprinting piece of the background check.
nan
We do pre-employment background checks for our new hires and sometimes need to run additional checks on current staff for special projects.  Certn makes it easy to initiate the background checks and get quick results.",positive,"['easy', 'use', 'quick', 'turnaround', 'time', 'standard', 'background', 'check', 'wish', 'could', 'add', 'act153', 'pa', 'handle', 'fbi', 'fingerprinting', 'piece', 'background', 'check', 'nan', 'pre-employment', 'background', 'check', 'new', 'hire', 'sometimes', 'need', 'run', 'additional', 'check', 'current', 'staff', 'special', 'project', 'certn', 'make', 'easy', 'initiate', 'background', 'check', 'get', 'quick', 'result']","Technology, Checks, Platform, People Management, Time, Adjectives"
9,checkr,United States,4.0,Information Technology and Services,enterprise,"Checkrs integrations and open API documentation make it easy to automate a boring and antiquated way of running BGC and MVRs!
Wish the TNC process was different but that's due to the government regulations and other barriers
nan
Simple background check and motor vehicle checks -- nothing more",negative,"['checkrs', 'integration', 'open', 'api', 'documentation', 'make', 'easy', 'automate', 'boring', 'antiquated', 'way', 'running', 'bgc', 'mvrs', 'wish', 'tnc', 'process', 'wa', 'different', ""'s"", 'due', 'government', 'regulation', 'barrier', 'nan', 'simple', 'background', 'check', 'motor', 'vehicle', 'check', '--', 'nothing']","Technology, Checks, Integration, Documentation & Compliance, Adjectives"
